api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url
41-133-21708,"0009731","36.381417000000056","-85.18486099999996",Tennessee,Overton,,Jerry Garrett #27,Target Oil & Gas Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21708,https://tdeconline.tn.gov/oilgaswells/
41-133-21709,"0009732","36.426528000000076","-85.15433299999995",Tennessee,Overton,,Robert Wright #9,Basin Oil & Gas Corp,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21709,https://tdeconline.tn.gov/oilgaswells/
41-133-21710,"0009733","36.43858300000005","-85.19258299999996",Tennessee,Overton,,Alleta Smith #2,"Smith, Larry Pat",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21710,https://tdeconline.tn.gov/oilgaswells/
41-133-21711,"0009734","36.43019400000003","-85.15033299999999",Tennessee,Overton,,Jonathan McDonald #1,El-Kan Exploration,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21711,https://tdeconline.tn.gov/oilgaswells/
41-133-21712,"0009737","36.38305600000007","-85.18780599999997",Tennessee,Overton,,Jerry Garrett #28,Target Oil & Gas Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21712,https://tdeconline.tn.gov/oilgaswells/
41-133-21713,"0009738","36.42247200000003","-85.16977799999995",Tennessee,Overton,,Ostil & Freddie Paul #14,Basin Oil & Gas Corp,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21713,https://tdeconline.tn.gov/oilgaswells/
41-133-21714,"0009739","36.43797200000006","-85.19111099999998",Tennessee,Overton,,Roger McDonald #9,John Henry Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21714,https://tdeconline.tn.gov/oilgaswells/
41-133-21715,"0009742","36.43044400000008","-85.17277799999994",Tennessee,Overton,,Jimmy Young #2,Young Oil Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21715,https://tdeconline.tn.gov/oilgaswells/
41-133-21716,"0009743","36.390750000000025","-85.24769399999997",Tennessee,Overton,,Ellen Rose Sells #1,"Pryor Oil Co, Inc.",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-21716,https://tdeconline.tn.gov/oilgaswells/
41-129-21364,"0006469","36.21563900000007","-84.87874999999997",Tennessee,Morgan,,BOBBY YORK-BASIN #3,"Wright, Glen A",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21364,https://tdeconline.tn.gov/oilgaswells/
41-129-21366,"0006472","36.24772200000007","-84.72847199999995",Tennessee,Morgan,,SEXTON HAROLD #1,"Tanasi Oil and Gas, Inc.",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21366,https://tdeconline.tn.gov/oilgaswells/
41-129-21367,"0006474","36.11191700000006","-84.80547199999995",Tennessee,Morgan,,AYTES MABLE ET AL #1,Deep Ventures O&G Exploration,,,Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21367,https://tdeconline.tn.gov/oilgaswells/
41-129-21368,"0006476","36.246417000000065","-84.83113899999995",Tennessee,Morgan,,BEARDEN W L #2,Rey Oil & Gas Inc,,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21368,https://tdeconline.tn.gov/oilgaswells/
41-129-21369,"0006479","36.11450000000008","-84.80549999999994",Tennessee,Morgan,,AYTES LEONARD #1,Deep Ventures O&G Exploration,,,Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21369,https://tdeconline.tn.gov/oilgaswells/
41-129-21370,"0006482","36.30433300000004","-84.65527799999995",Tennessee,Morgan,,PEMBERTON - BAKER #4,"Enrema, LLC",,,Oil And Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21370,https://tdeconline.tn.gov/oilgaswells/
41-129-21371,"0006483","36.26472200000006","-84.68349999999998",Tennessee,Morgan,,WALKER CLYDE #2-A,"Cardinal Petroleum, Inc",,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21371,https://tdeconline.tn.gov/oilgaswells/
41-129-21372,"0006484","36.30980600000004","-84.65119399999998",Tennessee,Morgan,,PEMBERTON - BAKER #5,"Enrema, LLC",,,Oil And Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21372,https://tdeconline.tn.gov/oilgaswells/
41-129-21373,"0006491","36.13461100000006","-84.77469399999995",Tennessee,Morgan,,SUSACK ADAM #1,"Matschikowski, Elizabeth",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21373,https://tdeconline.tn.gov/oilgaswells/
41-129-21374,"0006503","36.08813900000007","-84.65655599999997",Tennessee,Morgan,,MELTON TRUMAN #1,"Enrema, LLC",,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21374,https://tdeconline.tn.gov/oilgaswells/
41-129-21375,"0006509","36.30083300000007","-84.65902799999998",Tennessee,Morgan,,PEMBERTON - BAKER #2,"Enrema, LLC",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21375,https://tdeconline.tn.gov/oilgaswells/
41-129-21376,"0006512","36.131583000000035","-84.77647199999996",Tennessee,Morgan,,Julie Smarsh #3,"Enrema, LLC",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21376,https://tdeconline.tn.gov/oilgaswells/
41-129-21377,"0006513","36.130194000000074","-84.77872199999996",Tennessee,Morgan,,Steve Smarsh et al #4,"Enrema, LLC",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21377,https://tdeconline.tn.gov/oilgaswells/
41-129-21378,"0006519","36.33333300000004","-84.75483299999996",Tennessee,Morgan,,PEMBERTON G C #A-7,"Enrema, LLC",,,Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21378,https://tdeconline.tn.gov/oilgaswells/
41-129-21379,"0006520","36.12783300000007","-84.84388899999999",Tennessee,Morgan,,WYATT - SMITH UNIT #1,"Enrema, LLC",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21379,https://tdeconline.tn.gov/oilgaswells/
41-129-21380,"0006530","36.13250000000005","-84.77316699999994",Tennessee,Morgan,,SUSACK ADAM #2,"Hamby, Maynard",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21380,https://tdeconline.tn.gov/oilgaswells/
41-129-21381,"0006533","36.168806000000075","-84.68719399999998",Tennessee,Morgan,,HOWARD G TURNER #1,"B & W Oil Company, Inc.",,,Gas,,,Production Well,https://wellwiki.org/wiki/41-129-21381,https://tdeconline.tn.gov/oilgaswells/
41-129-21382,"0006537","36.12783300000007","-84.85372199999995",Tennessee,Morgan,,PLATEAU PROPERTIES #1,"Miller, Deloy",,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21382,https://tdeconline.tn.gov/oilgaswells/
41-129-21383,"0006541","36.321083000000044","-84.67736099999996",Tennessee,Morgan,,ANDERSON BOB #S2-2,"Enrema, LLC",,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21383,https://tdeconline.tn.gov/oilgaswells/
41-129-21384,"0006545","36.34188900000004","-84.69266699999997",Tennessee,Morgan,,Coffey #4,Rey Oil & Gas Inc,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-129-21384,https://tdeconline.tn.gov/oilgaswells/
41-129-21385,"0006559","36.151361000000065","-84.73047199999996",Tennessee,Morgan,,DAVIDSON ARTHUR #1,"B & W Oil Company, Inc.",,,Oil,,,Production Well,https://wellwiki.org/wiki/41-129-21385,https://tdeconline.tn.gov/oilgaswells/
41-133-20035,"0001794","36.357139000000075","-85.15244399999995",Tennessee,Overton,,RACHELS BROTHERS #1,Tennessee Energy Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20035,https://tdeconline.tn.gov/oilgaswells/
41-133-20036,"0001795","36.321889000000056","-85.15749999999997",Tennessee,Overton,,ALLRED HEIRS #1,Tennessee Energy Corporation,,,Oil,,,Production Well,https://wellwiki.org/wiki/41-133-20036,https://tdeconline.tn.gov/oilgaswells/
41-133-20037,"0001837","36.39102800000006","-85.37055599999997",Tennessee,Overton,,William E Smith #3,"Thomas, William D.",,,Shut-in Gas,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20037,https://tdeconline.tn.gov/oilgaswells/
41-133-20038,"0001842","36.40483300000005","-85.39761099999998",Tennessee,Overton,,UPCHURCH BOB #1,Energy Resource Corporation,,,Dry & Abandoned,,,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/41-133-20038,https://tdeconline.tn.gov/oilgaswells/
