Latitude,Longitude,Project,Status,LocationID,API,geometry
37.245589,-109.024433,Monument Global Bond Claim,_Planned,313431,083-05155,POINT (142997.59427563235 4129712.3819111562)
37.23511,-109.011413,Monument Global Bond Claim,_Planned,313442,083-05346,POINT (144103.722474011 4128499.974092705)
37.24257,-109.029,Monument Global Bond Claim,_Planned,313444,083-05352,POINT (142577.9950548474 4129394.506424449)
37.241989,-109.020183,Monument Global Bond Claim,_Planned,313445,083-05353,POINT (143357.77422434982 4129296.6885060477)
37.249479,-109.034043,Monument Global Bond Claim,_Planned,313447,083-05415,POINT (142163.158041301 4130180.5785671333)
37.242039,-109.033973,Monument Global Bond Claim,_Planned,313448,083-05416,POINT (142134.11668750562 4129354.3849396766)
37.243609,-109.031383,Monument Global Bond Claim,_Planned,313519,083-06391,POINT (142371.41938297666 4129518.865835901)
37.5147,-108.463122,Black Resources Bond Claim,_Planned,313550,083-06519,POINT (193905.84518011555 4157609.4037821065)
37.57281,-108.4085,Black Resources Bond Claim,_Planned,313629,,POINT (198969.29382391745 4163882.7190042944)
40.078756,-103.893433,Smith Energy Corp Bond Claim,_Planned,313886,087-07503,POINT (594348.6375152519 4437085.059156938)
40.507305,-103.934696,Smith Energy Corp Bond Claim,_Planned,313892,,POINT (590258.3478751003 4484610.646553175)
40.452898,-103.915114,Smith Energy Corp Bond Claim,_Planned,313896,087-07663,POINT (591991.7179033534 4478591.550588145)
40.508235,-104.120574,Painted Pegasus Bond Claim,_Planned,313899,,POINT (574508.5070979116 4484540.255917173)
40.046771,-103.610953,Painted Pegasus Bond Claim,_Planned,313929,,POINT (618489.7222826296 4433872.5955576375)
40.463645,-103.911027,Smith Energy Corp Bond Claim,_Planned,313943,,POINT (592323.5629455545 4479788.757835396)
40.58732,-102.40996,Omimex Petroleum Bond Claim,_Planned,313998,095-06064,POINT (719190.8680093875 4496171.755748629)
40.55976,-102.34461,Omimex Petroleum Bond Claim,_Planned,313999,095-06066,POINT (724814.2372693841 4493276.889229448)
40.55496,-102.32342,Omimex Petroleum Bond Claim,_Planned,314008,095-06079,POINT (726624.6550411317 4492798.31897204)
40.57922,-102.32622,Omimex Petroleum Bond Claim,_Planned,314010,095-06081,POINT (726305.7538959772 4495484.460525989)
40.55495,-102.31766,Omimex Petroleum Bond Claim,_Planned,314019,095-06094,POINT (727112.4407001978 4492812.050149089)
40.44869,-102.38927,Omimex Petroleum Bond Claim,_Planned,314026,095-06113,POINT (721397.946196824 4480833.025730756)
40.57213,-102.32945,Omimex Petroleum Bond Claim,_Planned,314029,095-06117,POINT (726056.2208080036 4494689.027404562)
40.44127,-102.38216,Omimex Petroleum Bond Claim,_Planned,314030,095-06119,POINT (722025.3960153186 4480027.140024104)
40.44203,-102.38459,Omimex Petroleum Bond Claim,_Planned,314031,095-06120,POINT (721816.7787852095 4480105.402870681)
40.45035,-102.38536,Omimex Petroleum Bond Claim,_Planned,314032,095-06121,POINT (721724.1030816355 4481027.131860065)
40.44981,-102.38034,Omimex Petroleum Bond Claim,_Planned,314033,095-06122,POINT (722151.6310702766 4480979.808470401)
40.45591,-102.32403,Omimex Petroleum Bond Claim,_Planned,314035,095-06124,POINT (726906.8277130646 4481800.309737577)
40.44537,-102.38492,Omimex Petroleum Bond Claim,_Planned,314036,095-06125,POINT (721777.8016884483 4480475.371212437)
40.45196,-102.32243,Omimex Petroleum Bond Claim,_Planned,314045,095-06135,POINT (727055.820745735 4481365.903566165)
40.44304,-102.33594,Omimex Petroleum Bond Claim,_Planned,314046,095-06136,POINT (725939.9444128289 4480340.944821725)
40.44019,-102.35947,Omimex Petroleum Bond Claim,_Planned,314058,095-06149,POINT (723953.5943788122 4479964.569623362)
40.44603,-102.36704,Omimex Petroleum Bond Claim,_Planned,314059,095-06150,POINT (723292.1400668145 4480593.730579141)
40.45021,-102.37148,Omimex Petroleum Bond Claim,_Planned,314061,095-06152,POINT (722901.7356356349 4481046.558802746)
40.44928,-102.37682,Omimex Petroleum Bond Claim,_Planned,314062,095-06153,POINT (722451.9153279074 4480929.836958969)
40.44502,-102.32615,Omimex Petroleum Bond Claim,_Planned,314082,095-06173,POINT (726763.6749165439 4480585.871205328)
40.44441,-102.33117,Omimex Petroleum Bond Claim,_Planned,314083,095-06174,POINT (726339.9376248737 4480505.262652008)
40.57265,-102.32412,Omimex Petroleum Bond Claim,_Planned,314089,095-06180,POINT (726505.6897525189 4494760.460494682)
40.44039,-102.32689,Omimex Petroleum Bond Claim,_Planned,314092,095-06183,POINT (726716.4773665192 4480069.9561776975)
40.54832,-102.33331,Omimex Petroleum Bond Claim,_Planned,314101,,POINT (725809.5013341767 4492035.740260673)
40.5729,-102.3327,Omimex Petroleum Bond Claim,_Planned,314102,095-06193,POINT (725778.4941999427 4494766.170937851)
40.57205,-102.33588,Omimex Petroleum Bond Claim,_Planned,314103,095-06194,POINT (725512.14303941 4494663.651652209)
40.54044,-102.325,Omimex Petroleum Bond Claim,_Planned,314121,,POINT (726539.8233756511 4491182.24746381)
40.44912,-102.36239,Omimex Petroleum Bond Claim,_Planned,314122,095-06214,POINT (723676.2824401805 4480948.551445339)
40.44296,-102.35777,Omimex Petroleum Bond Claim,_Planned,314134,095-06226,POINT (724088.5886783829 4480276.403605665)
